q9_item,n,avg_score,clean_n,dirty_n,clean_per100,dirty_per100,not_clean_per100
Q9AIRTRAIN,1538,4.290637191157347,732,32,47.594278283485046,2.080624187256177,52.405721716514954
Q9ALL,2736,4.275950292397661,1168,12,42.69005847953216,0.43859649122807015,57.30994152046784
Q9BOARDING,2762,4.394641564083997,1460,19,52.86024619840695,0.6879073135409124,47.13975380159305
Q9FOOD,2220,4.218468468468468,925,36,41.66666666666667,1.6216216216216217,58.33333333333333
Q9RENTAL,1175,4.151489361702128,495,34,42.12765957446808,2.893617021276596,57.87234042553192
Q9RESTROOM,2653,4.131172257821334,1054,98,39.72860912174897,3.6939313984168867,60.27139087825103
